Humboldt,Morro Bay,Diablo Canyon,Cape Wind,OCS-A0522,OCS-A0521,OCS-A0534,OCS-A0501,OCS-A0500,OCS-A0487,OCS-A0517,OCS-A0512,OCS-A0508,OCS-A0483,OCS-A0490,OCS-A0486,OCS-A0520,OCS-A0498,OCS-A0499,OCS-A0549
477284,743456,786019,5841090,5834071,5818120,5800384,5819864,5779120,5756071,5763154,5529303,5355924,5341714,5401856,5752507,5809251,5449653,5462044,5472665
477285,743457,786020,5841091,5835842,5819891,5802155,5821635,5779121,5756072,5764926,5529304,5355925,5341715,5401857,5752508,5809252,5449654,5462045,5472666
477286,745228,787791,5841092,5837613,5819892,5802156,5821636,5779122,5756073,5764927,5531075,5355926,5341716,5401858,5752509,5811022,5449655,5462046,5472667
477287,745229,787792,5842861,5837614,5821662,5803926,5823407,5779123,5756074,5766698,5531076,5357696,5341717,5401859,5754279,5811023,5451424,5463816,5474437
479055,745230,787793,5842862,5839384,5821663,5803927,5823408,5779124,5756075,5766699,5532848,5357697,5341718,5401860,5754280,5811024,5451425,5463817,5474438
479056,745231,787794,5842863,5839385,5821664,5803928,5825178,5779125,5756076,5766700,5532849,5357698,5341719,5401861,5754281,5811025,5451426,5463818,5474439
479057,747000,789563,5842864,5839386,5823433,5805697,5825179,5779126,5757843,5768470,5534620,5359468,5341720,5401862,5756051,5811026,5451427,5463819,5476209
479058,747001,789564,5842865,5841155,5823434,5805698,5825180,5779127,5757844,5768471,5534621,5359469,5341721,5401863,5756052,5811027,5451428,5465588,5476210
479059,747002,789565,5842866,5841156,5823435,5805699,5825181,5779128,5757845,5768472,5536392,5359470,5341722,5401864,5756062,5811028,5451429,5465589,5476211
479060,747003,789566,5844633,5841157,5823436,5805700,5826948,5779129,5757846,5770242,5536393,5359471,5343484,5401865,5756064,5811029,5453195,5465590,5476212
480826,748772,789567,5844634,5841158,5825204,5807467,5826949,5779130,5757847,5770243,5538165,5361243,5343485,5401866,5756065,5811030,5453196,5465591,5476213
480827,748773,789568,5844635,5842925,5825205,5807468,5826950,5780892,5757848,5770244,5538166,5361244,5343486,5401867,5756066,5812793,5453197,5465592,5476214
480828,748774,789569,5844636,5842926,5825206,5807469,5826951,5782664,5759615,5772014,5539937,5361245,5343487,5403628,5757833,5812794,5453198,5467355,5476215
480829,748775,791335,5844637,5842927,5825207,5807470,5826952,5784435,5759616,5772015,5539938,5363015,5343488,5403629,5757834,5812795,5453199,5467356,5477981
480830,748776,791336,5844638,5842928,5825208,5807471,5828719,5784436,5759617,5772016,5539939,5363016,5343489,5403630,5757836,5812796,5453200,5467357,5477982
480831,750545,791337,5844639,5842929,5826975,5807472,5828720,5786207,5759618,5773786,5541709,5363017,5343490,5403631,5757837,5812797,5453201,5467358,5477983
480832,750546,791338,5846405,5842930,5826976,5809239,5828721,5786208,5759619,5773787,5541710,5364787,5343491,5403632,5757838,5812798,5453202,5467359,5477984
480833,750547,791339,5846406,5844697,5826977,5809240,5828722,5787977,5759620,5773788,5541711,5364788,5343492,5403633,5759602,5812799,5454966,5467360,5477985
482598,750548,791340,5846407,5844698,5826978,5809241,5828723,5787978,5761387,,5541712,5364789,5343493,5403634,5759603,5812800,5454967,5467361,5477986
482599,750553,791341,5846408,5844699,5826979,5809242,5828724,5787979,5761388,,5543482,5364790,5343494,5403635,5759604,5812801,5454968,5467362,5477987
482600,750554,791342,5846409,5844700,5826980,5809243,5828725,5787980,5761389,,5543483,5366559,5345256,5403636,5759605,5812802,5454969,5467363,5479753
482601,752318,791343,5846410,5844701,5828746,5809244,5828726,5789748,5761390,,5543484,5366560,5345257,5403637,5759606,5814564,5454970,5467364,5479754
482602,752319,791344,5846411,5844702,5828747,5809245,5830491,5789749,5761391,,5545254,5366561,5345258,5403638,5759608,5814565,5454971,5467365,5479755
482603,752320,791345,5848177,5846468,5828748,5809246,5830492,5789750,5761392,,5545255,5366562,5345259,5403639,5759609,5814566,5454972,5467366,5479756
482604,752325,793107,5848178,5846469,5828749,5809247,5830493,5789751,5763160,,5545256,5366563,5345260,5403640,5759610,5814567,5454973,5467367,5479757
482605,752326,793108,5848179,5846470,5828750,5809248,5830494,5789752,5763161,,5545257,5366564,5345261,5405400,5759611,5814568,5454974,5469127,5479758
482606,752327,793109,5848180,5846471,5828751,5809249,5830495,5791520,5763162,,5547026,5368331,5345262,5405401,5761374,5814569,5454975,5469128,5479759
482607,752328,793110,5848181,5846472,5828752,5809250,5830496,5791521,5763163,,5547027,5368332,5345263,5405402,5761375,5814570,5456737,5469129,5479760
484369,754090,793111,5848182,5846473,5830517,5811010,5830497,5791522,5763164,,5547028,5368333,5345264,5405403,5761376,5814571,5456738,5469130,5481516
484370,754091,793112,5848183,5846474,5830518,5811011,5830498,5791523,5764932,,5547029,5368334,5345265,5405404,5761377,5814572,5456739,5469131,5481517
484371,754092,793113,5849949,5848239,5830519,5811012,5832261,5791524,5764933,,5548799,5368335,5345266,5405405,5761378,5814573,5456740,5469132,5481518
484372,754093,793114,5849950,5848240,5830520,5811013,5832262,5793290,5764934,,5548800,5368336,5347028,5405406,5761380,5814574,5456741,5469133,5481519
484373,754094,793115,5849951,5848241,5830521,5811014,5832263,5793291,5764935,,5548801,5370103,5347029,5405407,5761381,5816335,5456742,5469134,5481522
484374,754095,793116,5849952,5848242,5830522,5811015,5832264,5793292,5764936,,5550571,5370104,5347030,5405408,5761382,5816336,5456743,5469135,5481523
484375,754096,793117,5849953,5848243,5830523,5811016,5832265,5793293,5766704,,5550572,5370105,5347031,5405409,5761383,5816337,5456744,5469136,5481524
484376,754097,793118,5849954,5848244,5830524,5811017,5832266,5793294,5766705,,5550573,5370106,5347032,5405410,5761384,5816338,5456745,5469137,5481525
484377,754098,794879,5849955,5848245,5830525,5811018,5832267,5793295,5766706,,5550574,5370107,5347033,5405411,5763145,5816339,5456746,5469138,5481526
